FromID,ToID,RelationType
2,1,is_part_of
3,2,is_part_of
4,2,is_part_of
5,2,is_part_of
6,2,is_part_of
4,5,contrasts_with
4,6,contrasts_with
5,6,contrasts_with
52,105,related_to
81,82,contrasts_with
81,83,related_to
82,83,related_to
93,94,contrasts_with
96,97,contrasts_with
62,63,related_to
62,64,contrasts_with
120,121,related_to
120,122,related_to
121,122,contrasts_with
116,117,contrasts_with
118,119,contrasts_with
127,136,contrasts_with
136,143,contrasts_with
157,158,contrasts_with
157,159,contrasts_with
158,159,contrasts_with
176,191,contrasts_with
163,176,related_to
163,191,related_to
43,44,related_to
43,45,related_to
44,45,related_to
11,12,contrasts_with
28,29,contrasts_with
52,127,related_to
105,127,related_to
160,161,related_to
161,162,related_to
177,183,contrasts_with
187,186,is_part_of
191,194,related_to
